marital_status,day_or_night,previous_qualification,admission_grade,displaced,gender,age,international,target
soltero,Si,122,127.3,Si,Hombre,20,No,Dropout
soltero,Si,160,142.5,Si,Hombre,19,No,Graduate
soltero,Si,122,124.8,Si,Hombre,19,No,Dropout
soltero,Si,122,119.6,Si,Mujer,20,No,Graduate
casado,No,100,141.5,No,Mujer,45,No,Graduate
casado,No,133.1,114.8,No,Hombre,50,No,Graduate
soltero,Si,142,128.4,Si,Mujer,18,No,Graduate
soltero,Si,119,113.1,Si,Hombre,22,No,Dropout
soltero,Si,137,129.3,No,Mujer,21,Si,Graduate
soltero,Si,138,123,Si,Mujer,18,No,Dropout
soltero,Si,139,130.6,Si,Mujer,18,No,Graduate
soltero,Si,136,119.3,Si,Mujer,18,No,Graduate
soltero,Si,133,130.2,Si,Mujer,19,No,Dropout
soltero,Si,110,111.8,Si,Mujer,21,No,Graduate
soltero,Si,149,137.1,Si,Mujer,18,No,Graduate
soltero,Si,127,120.7,Si,Mujer,20,No,Dropout
soltero,Si,135,127.3,Si,Mujer,18,No,Graduate
soltero,Si,137,136.3,Si,Mujer,20,No,Graduate
soltero,Si,122,120.3,No,Mujer,21,No,Graduate
soltero,Si,142,125.5,Si,Mujer,18,No,Graduate
soltero,Si,125,114.9,Si,Mujer,19,No,Graduate
soltero,Si,126,123.9,No,Mujer,19,No,Graduate
soltero,Si,115,116.4,Si,Mujer,21,No,Graduate
soltero,Si,135,122.1,Si,Mujer,20,No,Graduate
soltero,Si,125,130,Si,Hombre,20,No,Graduate
soltero,No,138,134.5,Si,Mujer,19,No,Graduate
soltero,No,130,131.4,No,Hombre,34,No,Graduate
soltero,Si,130,102.5,No,Hombre,37,No,Dropout
soltero,Si,133.1,128.8,Si,Hombre,43,No,Dropout
soltero,Si,140,122.9,No,Mujer,55,No,Dropout
divorciado,No,120,113.9,Si,Mujer,39,No,Graduate
soltero,Si,120,120,No,Mujer,20,Si,Dropout
soltero,Si,126,121.1,No,Mujer,18,No,Dropout
soltero,Si,133,120.4,Si,Mujer,22,No,Graduate
soltero,Si,103,100.6,Si,Mujer,22,No,Graduate
soltero,Si,120,121.4,No,Mujer,20,No,Dropout
soltero,No,133.1,109.7,No,Mujer,29,No,Dropout
soltero,Si,130,127.6,Si,Mujer,18,No,Graduate
soltero,Si,132,132.4,Si,Mujer,22,No,Graduate
soltero,No,130,133.4,No,Mujer,21,No,Graduate
soltero,Si,139,126.1,No,Mujer,19,No,Graduate
soltero,Si,130,113.5,No,Mujer,24,No,Graduate
soltero,Si,167,159.3,No,Mujer,19,No,Graduate
soltero,No,130,120,No,Mujer,27,No,Dropout
soltero,Si,130,129.1,Si,Mujer,18,No,Graduate
casado,Si,130,130,No,Mujer,39,No,Dropout
soltero,Si,129,155.3,Si,Mujer,27,No,Dropout
soltero,Si,141,139.8,Si,Mujer,18,No,Graduate
soltero,Si,125,114.9,No,Mujer,18,No,Graduate
soltero,Si,130,131.9,No,Mujer,21,No,Graduate
divorciado,Si,133.1,126,Si,Hombre,29,No,Dropout
soltero,Si,139,128.2,Si,Hombre,19,No,Graduate
soltero,Si,130,130,Si,Hombre,23,No,Graduate
soltero,Si,125,120.1,No,Hombre,19,No,Dropout
soltero,Si,150,130.8,No,Hombre,24,No,Graduate
soltero,Si,141,135.8,Si,Hombre,19,No,Dropout
soltero,Si,118,111.7,Si,Hombre,18,No,Dropout
soltero,Si,142,132.9,Si,Hombre,18,No,Graduate
soltero,Si,120,115.5,Si,Hombre,18,No,Dropout
soltero,Si,106,106,Si,Hombre,21,No,Dropout
soltero,Si,121,120.3,Si,Hombre,19,No,Graduate
soltero,Si,150,130.8,No,Hombre,22,No,Graduate
casado,No,120,117,No,Hombre,33,No,Graduate
soltero,Si,114,110.2,Si,Hombre,20,No,Dropout
soltero,No,140,155.7,Si,Hombre,35,No,Dropout
soltero,Si,160,180.4,No,Hombre,24,No,Dropout
casado,No,130,110,Si,Mujer,33,No,Graduate
soltero,Si,160,161,Si,Mujer,22,No,Graduate
soltero,Si,120,100,No,Mujer,25,No,Graduate
soltero,Si,124,117.6,Si,Hombre,20,No,Graduate
soltero,Si,133.1,100.8,No,Hombre,24,No,Dropout
soltero,Si,133.1,105,Si,Mujer,21,Si,Graduate
soltero,Si,133.1,100,No,Mujer,26,Si,Dropout
casado,Si,133.1,115.5,No,Mujer,39,No,Dropout
casado,No,133.1,114,No,Mujer,44,No,Graduate
soltero,Si,135,124.9,Si,Mujer,18,No,Graduate
soltero,Si,132,120.3,Si,Mujer,18,No,Graduate
soltero,Si,115,111.5,Si,Mujer,19,No,Dropout
soltero,Si,130,128.8,No,Mujer,21,No,Dropout
soltero,Si,133.1,110,Si,Mujer,20,No,Graduate
casado,No,130,113.5,Si,Mujer,36,No,Dropout
divorciado,Si,133.1,160,No,Mujer,43,No,Graduate
soltero,Si,123,117.4,Si,Mujer,19,No,Dropout
soltero,Si,130,122.2,No,Mujer,20,No,Graduate
soltero,Si,122,118.2,Si,Mujer,19,No,Dropout
soltero,Si,113,106.7,Si,Mujer,20,No,Dropout
soltero,Si,111,108.2,Si,Mujer,20,No,Dropout
soltero,Si,142,136.1,Si,Mujer,18,No,Graduate
soltero,Si,131,139.8,Si,Mujer,19,No,Graduate
soltero,Si,158,157,Si,Mujer,18,No,Graduate
soltero,Si,122,131,Si,Mujer,18,No,Dropout
soltero,Si,140,137,No,Mujer,18,No,Graduate
soltero,Si,127,121.8,No,Mujer,18,No,Graduate
soltero,Si,133.1,131,Si,Mujer,21,No,Dropout
soltero,Si,120,118.6,Si,Mujer,19,No,Graduate
soltero,Si,137,122.3,No,Mujer,19,No,Dropout
